2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > sad
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 02:28:14.438394 02:28:14 | 127.0.0.1:57613      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59449      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59449      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59454      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59454      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59459      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59459      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59531      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59531      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59535      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59535      LSD1 > hi
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59535      LSD1 > hello
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59535      LSD1 > whats up
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > hi
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > what's up
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > h
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > asdasdsad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > asdasdasdas
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > asdasdsad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > hello
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > exit
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > {exit}
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59538      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > hi
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > hello
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > asdasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > asda
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > sdasdsad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > asdsadsadsa
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > dasdsadasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > asdadasdas
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > dasdsadasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > asdasdasdas
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > dsadsadasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > asdasdasdasd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > asdsadsad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 > asdsadsad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59556      LSD1 has left the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59603      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59603      LSD1 > hi
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59603      LSD1 > hello
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59603      LSD1 > whats up
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 has join the chat!
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > sad
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asda
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > hello
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > asd
2019-04-30 19:43:51.089215 19:43:51 | 127.0.0.1:59606      LSD1 > what's up
